date	uid	event	value	timestamp
2013-02-01	18214	visit	0	1359663104000
2013-02-01	2139	visit	6	1359662645000
2013-02-01	121	visit	5	1359663368000
2013-02-01	121	visit	9	1359663387000
2013-02-01	18430	visit	9	1359663341311
2013-02-01	18430	visit	3	1359663343483
2013-02-01	18374	visit	2	1359663242000
2013-02-01	19	visit	1	1359663418041
2013-02-01	121	visit	1	1359663422000
2013-02-01	427	visit	2	1359663551000
2013-02-01	18249	visit	2	1359663710930
2013-02-01	18246	visit	0	1359663772543
2013-02-01	123	visit	6	1359663807000
2013-02-01	18246	install.	4	1359663772284
2013-02-01	18114	visit	6	1359663612795
2013-02-01	18263	visit	7	1359663582000
2013-02-01	18249	install.	5	1359663708246
2013-02-01	16168	visit	2	1359663511000
2013-02-01	18433	install.	9	1359663820108
2013-02-01	18245	visit	1	1359663903000
2013-02-01	18196	visit	0	1359663961895
2013-02-01	121	visit	7	1359663795000
2013-02-01	18281	visit	7	1359663584000
2013-02-01	18422	visit	1	1359664165347
2013-02-01	18434	visit	5	1359664080074
2013-02-01	1259	visit	3	1359663968000
2013-02-01	18422	install.	1	1359664165088
2013-02-01	18249	visit	3	1359664103696
2013-02-01	18284	install.	0	1359664389071
2013-02-01	18284	visit	4	1359664374183
2013-02-01	18269	visit	0	1359664320658
2013-02-01	18284	visit	7	1359664371066
2013-02-01	18436	install.	5	1359664279142
2013-02-01	18436	visit	6	1359664279402
2013-02-01	18218	visit	4	1359664096000
2013-02-01	18232	install.	8	1359664626763
2013-02-01	18284	install.	0	1359664648875
2013-02-01	19	visit	8	1359664709534
2013-02-01	18294	visit	2	1359664728482
2013-02-01	18125	visit	0	1359664732056
2013-02-01	18437	uninstall.	4	1359664660913
2013-02-01	18232	install.	3	1359664787457
2013-02-01	18284	visit	2	1359664626322
2013-02-01	18284	install.	3	1359665053588
2013-02-01	18439	visit	2	1359665079040
2013-02-01	18374	visit	4	1359665034630
2013-02-01	18441	visit	3	1359665030111
2013-02-01	123	visit	0	1359664404000
2013-02-01	18441	install.	7	1359665025385
2013-02-01	18374	install.	3	1359665032075
2013-02-01	18300	visit	6	1359664870751
2013-02-01	18438	visit	6	1359665063993
2013-02-01	1259	visit	2	1359665213000
2013-02-01	18248	install.	4	1359665242909
2013-02-01	38	visit	1	1359665008000
2013-02-01	18093	visit	7	1359665194902
